종목코드,종목명,시장구분,현재가,등락률,거래량,시가총액
003120,일성아이에스,KOSPI,19880.0,2.0,45573.0,264404000000.0
003160,디아이,KOSPI,15130.0,-5.67,325885.0,428179000000.0
003200,일신방직,KOSPI,10420.0,4.51,92804.0,239243200000.0
003220,대원제약,KOSPI,13920.0,1.09,42276.0,312191955360.0
003230,삼양식품,KOSPI,1111000.0,0.91,437404.0,8369179665000.0
003240,태광산업,KOSPI,973000.0,5.99,7361.0,1083338200000.0
003280,흥아해운,KOSPI,1580.0,0.06,664230.0,379871340420.0
003300,한일홀딩스,KOSPI,16810.0,-0.59,27529.0,518300780040.0
003350,한국화장품제조,KOSPI,49550.0,-1.29,34278.0,224560600000.0
003460,유화증권,KOSPI,2630.0,0.96,79206.0,149127351450.0
003465,유화증권우,KOSPI,2490.0,-0.2,1597.0,43516298250.0
003470,유안타증권,KOSPI,3410.0,-0.15,851011.0,680624324160.0
003475,유안타증권우,KOSPI,3340.0,-1.18,34057.0,43126788080.0
003480,한진중공업홀딩스,KOSPI,5560.0,2.21,104408.0,164185754720.0
003490,대한항공,KOSPI,22500.0,-1.75,1815349.0,8284964872500.0
003495,대한항공우,KOSPI,22800.0,-1.3,8012.0,25326103200.0
003520,영진약품,KOSPI,2205.0,-0.9,427243.0,403278471855.0
003530,한화투자증권,KOSPI,4460.0,-1.33,2992411.0,956883076500.0
003535,한화투자증권우,KOSPI,6690.0,0.9,20481.0,32112000000.0
003540,대신증권,KOSPI,22950.0,1.77,287353.0,1165249530000.0
003545,대신증권우,KOSPI,19020.0,0.0,148502.0,494520000000.0
003547,대신증권2우B,KOSPI,17750.0,-0.28,71407.0,177500000000.0
003550,LG,KOSPI,71000.0,-4.57,704286.0,11164832715000.0
003555,LG우,KOSPI,59400.0,-0.67,7602.0,178865220600.0
003560,IHQ,KOSPI,10760.0,0.0,0.0,76220934800.0
003570,SNT다이내믹스,KOSPI,42000.0,-0.36,59892.0,1396613274000.0
003580,HLB글로벌,KOSPI,3020.0,0.0,31489.0,151956065560.0
003610,방림,KOSPI,4130.0,-0.72,13587.0,166034912540.0
003620,KG모빌리티,KOSPI,3425.0,-2.14,1089440.0,693134073600.0
003650,미창석유,KOSPI,104500.0,1.75,1306.0,181795724000.0
003670,포스코퓨처엠,KOSPI,116600.0,2.82,647175.0,9032211452000.0
003680,한성기업,KOSPI,5160.0,0.0,11975.0,32041097400.0
003690,코리안리,KOSPI,9240.0,-1.7,556583.0,1800146326440.0
003720,삼영,KOSPI,4035.0,-0.62,62571.0,137190000000.0
003780,진양산업,KOSPI,5730.0,-2.55,212253.0,74490000000.0
003830,대한화섬,KOSPI,129800.0,3.34,1088.0,172374400000.0
003850,보령,KOSPI,8740.0,0.11,115825.0,749780189180.0
003920,남양유업,KOSPI,75400.0,-0.66,7878.0,462303488400.0
003925,남양유업우,KOSPI,46000.0,0.66,10622.0,92000000000.0
003960,사조대림,KOSPI,41500.0,-1.31,29446.0,380325380500.0
004000,롯데정밀화학,KOSPI,37900.0,0.8,50949.0,977820000000.0
004020,현대제철,KOSPI,28200.0,-0.7,573105.0,3763171137000.0
004060,SG세계물산,KOSPI,334.0,0.0,184629.0,67609936640.0
004080,신흥,KOSPI,14590.0,-0.07,437.0,138605000000.0
004090,한국석유,KOSPI,12050.0,-0.82,38072.0,152964146000.0
004100,태양금속,KOSPI,2845.0,1.25,1106396.0,104411500000.0
004105,태양금속우,KOSPI,3975.0,0.38,88715.0,13117500000.0
004140,동방,KOSPI,2355.0,-1.46,214225.0,112973508930.0
004150,한솔홀딩스,KOSPI,2780.0,-0.18,265204.0,114054003600.0
004170,신세계,KOSPI,177900.0,0.28,54075.0,1715877699900.0
004250,NPC,KOSPI,4460.0,0.0,57196.0,163771200000.0
004255,NPC우,KOSPI,2415.0,0.84,30396.0,12751200000.0
004270,남성,KOSPI,1060.0,0.38,44862.0,38384889600.0
004310,현대약품,KOSPI,3485.0,0.14,134330.0,111520000000.0
004360,세방,KOSPI,13810.0,-0.65,55318.0,266653008900.0
004365,세방우,KOSPI,9130.0,-1.3,9728.0,33682852500.0
004370,농심,KOSPI,424000.0,0.95,28970.0,2579040208000.0
004380,삼익THK,KOSPI,9960.0,0.0,0.0,209160000000.0
004410,서울식품,KOSPI,157.0,0.0,535565.0,58836622763.0
004415,서울식품우,KOSPI,1258.0,-0.4,6629.0,2798421000.0
